pid,fold
1543,4
1544,3
1545,4
1546,2
1547,1
1548,4
1549,3
155,4
1550,2
1551,3
1552,3
1553,2
1554,1
1555,2
1556,3
1557,4
1558,3
1559,0
156,1
1560,4
1561,3
1562,3
1563,1
1564,1
1565,3
1566,2
1567,2
1568,4
1569,2
157,2
1570,2
1571,0
1572,4
1573,3
1574,0
1575,1
1576,2
1577,3
1578,3
1579,4
158,4
1580,0
1581,0
1582,4
1583,1
1584,1
1585,0
1586,3
1587,4
1588,0
1589,3
159,4
1590,0
1591,2
1592,2
1593,0
1594,1
1595,3
1596,0
1597,4
1598,3
1599,3
16,4
160,2
1600,0
1601,3
1602,1
1603,3
1604,1
1605,4
1606,2
1607,3
1608,3
1609,4
161,4
1610,0
1611,3
1612,0
1613,1
1614,0
1615,0
1616,1
1617,4
1618,4
1619,0
162,0
1620,3
1621,3
1622,3
1623,1
1624,1
1625,2
1626,4
1627,4
1628,1
1629,3
163,3
1630,2
1631,0
1632,3
1633,4
1634,3
1635,0
1636,1
1637,3
1638,4
1639,2
164,2
1640,0
1641,4
1642,4
1643,0
1644,2
1645,4
1646,2
1647,3
1648,3
1649,0
165,2
1650,4
1651,1
1652,3
1653,3
1654,2
1655,4
1656,4
1657,1
1658,3
1659,2
166,3
1660,1
1661,4
1662,1
1663,0
1664,2
1665,1
1666,3
1667,2
1668,0
1669,2
167,4
1670,0
1671,0
1672,0
1673,4
1674,3
1675,3
1676,4
1677,2
1678,3
1679,1
168,4
1680,3
1681,4
1682,1
1683,1
1684,4
1685,2
1686,4
1687,0
1688,1
1689,1
169,4
1690,1
1691,3
1692,0
1693,0
1694,3
1695,0
1696,2
1697,4
1698,0
1699,3
17,0
170,1
1700,3
1701,2
1702,2
1703,4
1704,0
1705,2
1706,3
1707,2
1708,4
1709,2
171,1
1710,4
1711,0
1712,4
1713,4
1714,0
1715,1
1716,3
1717,4
1718,3
1719,0
172,4
1720,1
1721,1
1722,2
1723,0
1724,4
1725,1
1726,3
1727,3
1728,4
1729,1
173,2
1730,1
1731,1
1732,4
1733,3
1734,3
1735,0
1736,2
1737,1
1738,1
1739,2
174,4
1740,1
1741,4
1742,4
1743,0
1744,3
1745,2
1746,3
1747,2
1748,4
1749,2
175,3
1750,0
1751,3
1752,3
1753,2
1754,0
1755,1
1756,2
1757,0
1758,1
1759,2
176,0
1760,4
1761,4
1762,0
1763,0
1764,1
1765,1
1766,0
1767,2
1768,0
1769,3
177,2
1770,1
1771,1
1772,2
1773,4
1774,1
1775,2
1776,1
1777,4
1778,4
1779,0
178,2
1780,3
1781,1
1782,2
1783,3
1784,1
1785,1
1786,1
1787,3
1788,2
1789,1
179,3
1790,1
1791,1
1792,4
1793,1
1794,2
1795,3
1796,1
1797,0
1798,1
1799,2
18,2
180,3
1800,1
1801,4
1802,4
1803,0
1804,2
1805,4
1806,0
1807,0
1808,3
1809,1
181,0
1810,3
1811,4
1812,4
1813,2
1814,3
1815,0
1816,2
1817,4
1818,4
1819,0
182,3
1820,2
1821,0
1822,2
1823,2
1824,3
1825,4
1826,1
1827,2
1828,2
1829,2
183,0
1830,1
1831,2
1832,1
1833,0
1834,0
1835,0
1836,0
1837,3
1838,0
1839,3
184,3
1840,3
1841,0
1842,1
1843,4
1844,1
1845,3
1846,3
1847,0
1848,3
1849,4
185,2
1850,4
1851,2
1852,4
1853,2
1854,1
1855,2
1856,1
1857,1
1858,3
1859,0
186,2
1860,0
1861,4
1862,3
1863,4
1864,3
1865,3
1866,4
1867,3
1868,4
1869,4
187,1
1870,1
1871,0
1872,2
1873,3
1874,4
1875,2
1876,2
1877,3
1878,4
1879,1
188,2
1880,0
1881,1
1882,1
1883,3
1884,2
1885,2
1886,3
1887,2
1888,0
1889,1
189,1
1890,2
1891,3
1892,2
1893,0
1894,3
1895,3
1896,1
1897,4
1898,2
1899,2
19,4
190,3
1900,1
1901,0
1902,0
1903,0
1904,4
1905,1
1906,3
1907,3
1908,2
1909,4
191,4
1910,3
1911,1
1912,0
1913,2
1914,3
1915,4
1916,3
1917,2
1918,1
1919,2
192,2
1920,3
1921,2
1922,0
1923,0
1924,0
1925,4
1926,0
1927,0
1928,2
1929,1
193,0
1930,2
1931,0
1932,3
1933,2
1934,0
1935,1
1936,1
1937,1
1938,2
1939,4
194,1
1940,4
1941,0
1942,4
1943,3
1944,1
1945,2
1946,0
1947,1
1948,0
1949,3
195,0
1950,1
1951,2
1952,4
1953,0
1954,2
1955,1
1956,3
1957,4
1958,3
1959,3
196,3
1960,4
1961,1
1962,4
1963,1
1964,0
1965,4
1966,1
1967,4
1968,2
1969,4
197,2
1970,2
1971,2
1972,3
1973,0
1974,1
1975,3
1976,0
1977,1
1978,0
1979,4
198,0
1980,0
1981,2
1982,3
1983,0
1984,3
1985,0
1986,3
1987,2
1988,1
1989,0
199,2
1990,2
1991,0
1992,3
1993,1
1994,0
1995,4
1996,3
1997,1
1998,2
1999,2
2,3
20,3
200,0
2000,3
2001,3
2002,1
2003,3
2004,4
2005,1
2006,1
2007,0
2008,4
2009,2
201,1
2010,1
2011,1
2012,4
2013,3
2014,0
2015,1
2016,1
2017,3
2018,1
2019,1
202,3
2020,3
2021,1
2022,3
2023,1
2024,4
2025,0
2026,3
2027,2
2028,0
2029,3
203,0
2030,0
2031,1
2032,1
2033,4
2034,4
2035,1
2036,3
2037,2
2038,3
2039,0
204,1
2040,0
2041,1
2042,1
2043,3
2044,4
2045,4
2046,1
2047,2
2048,2
2049,4
205,3
2050,2
2051,4
2052,4
2053,4
2054,0
2055,1
2056,1
2057,1
2058,2
2059,3
206,3
2060,0
2061,1
2062,2
2063,1
2064,1
2065,3
2066,1
2067,3
2068,3
2069,2
207,0
2070,0
2071,0
2072,3
2073,3
2074,2
2075,4
2076,3
2077,2
2078,2
2079,1
208,4
2080,0
2081,1
2082,3
2083,4
2084,4
2085,2
2086,3
2087,1
2088,1
2089,2
209,0
2090,1
2091,2
2092,0
2093,3
2094,0
2095,1
2096,1
2097,2
2098,2
2099,2
21,4
210,3
2100,1
2101,3
2102,1
2103,0
2104,0
2105,2
2106,4
2107,1
2108,3
2109,1
211,1
2110,4
2111,1
2112,2
2113,4
2114,4
2115,1
2116,1
2117,4
2118,1
2119,1
212,1
2120,0
2121,3
2122,1
2123,4
2124,4
2125,0
2126,4
2127,2
2128,0
2129,1
213,1
2130,3
2131,3
2132,0
2133,4
2134,1
2135,0
2136,0
2137,4
2138,2
2139,1
214,1
2140,1
2141,2
2142,2
2143,0
2144,4
2145,0
2146,4
2147,4
2148,3
2149,0
215,3
2150,2
2151,4
2152,1
2153,0
2154,0
2155,4
2156,2
2157,1
2158,3
2159,4
216,4
2160,4
2161,2
2162,2
2163,4
2164,3
2165,2
2166,1
2167,0
2168,0
2169,4
217,2
2170,2
2171,4
2172,2
2173,0
2174,4
2175,0
2176,1
2177,0
2178,0
2179,3
218,1
2180,1
2181,2
2182,3
2183,1
2184,1
2185,0
2186,1
2187,3
2188,1
2189,4
219,3
2190,3
2191,1
2192,2
2193,4
2194,2
2195,3
2196,4
2197,0
2198,1
2199,4
22,0
220,4
2200,4
2201,3
2202,4
2203,3
2204,0
2205,0
2206,1
2207,2
2208,2
2209,0
221,3
2210,0
2211,4
2212,0
2213,2
2214,2
2215,4
2216,1
2217,4
2218,0
2219,3
222,4
2220,3
2221,0
2222,4
2223,4
2224,4
2225,2
2226,0
2227,2
2228,4
2229,3
223,1
2230,2
2231,4
2232,1
2233,4
2234,2
2235,1
2236,0
2237,4
2238,4
2239,2
224,2
2240,4
2241,3
2242,0
2243,3
2244,0
2245,4
2246,4
2247,2
2248,1
2249,1
225,0
2250,3
2251,4
2252,1
2253,0
2254,2
2255,3
2256,1
2257,0
2258,0
2259,4
226,1
2260,4
2261,3
2262,2
2263,1
2264,3
2265,2
2266,4
2267,3
2268,1
2269,2
227,2
2270,1
2271,2
2272,2
2273,2
2274,2
2275,2
2276,0
2277,0
2278,1
2279,2
228,3
2280,3
2281,0
2282,3
2283,3
2284,4
2285,2
2286,4
2287,3
2288,3
2289,3
229,1
2290,3
2291,4
2292,4
2293,0
2294,4
2295,1
2296,3
2297,0
2298,1
2299,1
23,2
230,0
2300,3
2301,0
2302,1
2303,2
2304,3
2305,0
2306,0
2307,4
2308,3
2309,2
231,4
2310,2
2311,1
2312,2
2313,2
2314,4
2315,1
2316,1
2317,2
2318,2
2319,1
232,1
2320,0
2321,4
2322,2
2323,1
2324,0
2325,3
2326,2
2327,3
2328,1
2329,0
233,4
2330,3
2331,1
2332,4
2333,0
2334,1
2335,3
2336,0
2337,2
2338,3
2339,2
234,4
2340,3
2341,2
2342,0
2343,4
2344,4
2345,3
2346,2
2347,0
2348,0
2349,1
235,4
2350,3
2351,2
2352,0
2353,2
2354,0
2355,4
2356,4
2357,4
2358,4
2359,3
236,1
2360,1
2361,3
2362,2
2363,0
2364,4
2365,0
2366,4
2367,0
2368,0
2369,1
237,4
2370,3
2371,1
2372,0
2373,1
2374,0
2375,4
2376,1
2377,0
2378,4
2379,1
238,0
2380,1
2381,1
2382,0
2383,4
2384,3
2385,2
2386,0
2387,3
2388,4
2389,0
239,3
2390,2
2391,3
2392,1
2393,4
2394,1
2395,3
2396,1
2397,1
2398,1
2399,4
24,0
240,3
2400,1
2401,4
2402,0
2403,2
2404,1
2405,1
2406,0
2407,1
2408,1
2409,2
241,2
2410,0
2411,3
2412,2
2413,1
2414,3
2415,1
2416,1
2417,3
2418,2
2419,1
242,0
2420,1
2421,1
2422,3
2423,3
2424,0
2425,0
2426,3
2427,0
2428,0
2429,1
243,3
2430,2
2431,0
2432,1
2433,4
2434,2
2435,4
2436,3
2437,2
2438,2
2439,3
244,2
2440,1
2441,0
2442,1
2443,4
2444,0
2445,4
2446,3
2447,0
2448,0
2449,3
245,1
2450,2
2451,4
2452,2
2453,4
2454,2
2455,3
2456,3
2457,4
2458,0
2459,1
246,4
2460,1
2461,2
2462,1
2463,1
2464,2
2465,0
2466,1
2467,2
2468,4
2469,2
247,1
2470,0
2471,4
2472,4
2473,3
2474,0
2475,3
2476,3
2477,4
2478,4
2479,3
248,1
2480,1
2481,3
2482,0
2483,0
2484,0
2485,3
2486,3
2487,0
2488,2
2489,0
249,2
2490,1
2491,1
2492,4
2493,4
2494,1
2495,4
2496,2
2497,2
2498,3
2499,3
25,1
250,2
2500,2
2501,3
2502,2
2503,1
2504,0
2505,3
2506,2
2507,4
2508,3
2509,0
251,2
2510,3
2511,2
2512,2
2513,2
2514,4
2515,4
2516,2
2517,3
2518,2
2519,1
252,0
2520,2
2521,3
2522,2
2523,0
2524,3
2525,0
2526,0
2527,3
2528,1
2529,0
253,1
2530,1
2531,2
2532,0
2533,3
2534,4
2535,2
2536,4
2537,0
2538,2
2539,4
254,0
2540,4
2541,1
2542,4
2543,0
2544,1
2545,2
2546,4
2547,4
2548,2
2549,2
255,0
2550,3
2551,0
2552,3
2553,1
2554,1
2555,1
2556,3
2557,4
2558,4
2559,1
256,2
2560,0
2561,3
2562,4
2563,0
2564,3
2565,1
2566,1
2567,3
2568,3
2569,1
257,2
2570,0
2571,0
2572,1
2573,1
2574,4
2575,4
2576,2
2577,1
2578,2
2579,2
258,0
2580,4
2581,2
2582,0
2583,3
2584,3
2585,2
2586,3
2587,0
2588,4
2589,3
259,0
2590,2
2591,1
2592,4
2593,0
2594,4
2595,3
2596,4
2597,4
2598,2
2599,4
26,2
260,0
2600,0
2601,4
2602,0
2603,1
2604,4
2605,0
2606,2
2607,1
2608,3
2609,0
261,3
2610,3
2611,0
2612,2
2613,3
2614,0
2615,4
2616,0
2617,1
2618,3
2619,4
262,2
2620,0
2621,0
2622,3
2623,0
2624,4
2625,1
2626,1
2627,1
2628,0
2629,3
263,4
2630,0
2631,3
2632,2
2633,4
2634,3
2635,0
2636,0
2637,3
2638,2
2639,1
264,1
2640,1
2641,4
2642,4
2643,2
2644,4
2645,4
2646,4
2647,3
2648,4
2649,3
265,4
2650,1
2651,0
2652,2
2653,4
2654,3
2655,1
2656,0
2657,3
2658,4
2659,0
266,2
2660,0
2661,0
2662,2
2663,2
2664,3
2665,4
2666,1
2667,3
2668,4
2669,4
267,3
2670,2
2671,4
2672,0
2673,2
2674,1
2675,2
2676,1
2677,0
2678,0
2679,4
268,1
2680,3
2681,0
2682,3
2683,0
2684,4
2685,1
2686,3
2687,4
2688,3
2689,0
269,4
2690,2
2691,2
2692,4
2693,3
2694,0
2695,4
2696,0
2697,2
2698,0
2699,3
27,3
270,1
2700,3
2701,3
2702,1
2703,4
2704,4
2705,3
2706,2
2707,3
2708,2
2709,4
271,0
2710,4
2711,4
2712,0
2713,4
2714,0
2715,3
2716,1
2717,3
2718,3
2719,1
272,0
2720,1
2721,0
2722,3
2723,4
2724,2
2725,4
2726,0
2727,2
2728,1
2729,2
273,0
2730,0
2731,1
2732,3
2733,1
2734,3
2735,2
2736,4
2737,2
2738,1
2739,2
274,3
2740,0
2741,3
2742,0
2743,0
2744,2
2745,1
2746,3
2747,4
2748,4
2749,0
275,4
2750,2
2751,0
2752,4
2753,4
2754,3
2755,2
2756,3
2757,0
2758,0
2759,3
276,2
2760,2
2761,2
2762,4
2763,1
2764,2
2765,2
2766,2
2767,2
2768,0
2769,4
277,3
2770,2
2771,4
2772,1
2773,4
2774,1
2775,4
2776,2
2777,2
2778,1
2779,1
278,4
2780,2
2781,3
2782,0
2783,0
2784,2
2785,2
2786,0
2787,3
2788,1
2789,0
279,0
2790,2
2791,1
2792,1
2793,0
2794,3
2795,1
2796,0
2797,1
2798,4
2799,2
28,1
280,0
2800,0
2801,0
2802,4
2803,3
2804,2
2805,0
2806,3
2807,0
2808,1
2809,2
281,0
2810,0
2811,3
2812,0
2813,4
2814,0
2815,0
2816,2
2817,3
2818,3
2819,4
282,1
2820,0
2821,4
2822,3
2823,4
2824,1
2825,1
2826,0
2827,4
2828,4
2829,3
283,2
2830,2
2831,3
2832,4
2833,3
2834,2
2835,2
2836,3
2837,3
2838,4
2839,3
284,0
2840,2
2841,1
2842,2
2843,4
2844,4
2845,1
2846,4
2847,4
2848,1
2849,3
285,1
2850,3
2851,1
2852,4
2853,2
2854,4
2855,2
2856,4
2857,0
2858,3
2859,1
286,2
2860,0
2861,2
2862,2
2863,0
2864,0
2865,0
2866,1
2867,3
2868,2
2869,4
287,4
2870,3
2871,3
2872,2
2873,1
2874,4
2875,2
2876,3
2877,0
2878,1
2879,2
288,4
2880,0
2881,2
2882,0
2883,3
2884,1
2885,0
2886,3
2887,4
2888,1
2889,1
289,2
2890,0
2891,2
2892,0
2893,2
2894,2
2895,3
2896,0
2897,3
2898,0
2899,2
29,4
290,4
2900,3
2901,3
2902,2
2903,4
2904,1
2905,2
2906,2
2907,3
2908,3
2909,4
291,2
2910,2
2911,4
2912,2
2913,4
2914,4
2915,1
2916,4
2917,0
2918,4
2919,3
292,4
2920,2
2921,3
2922,2
2923,1
2924,3
2925,4
2926,1
2927,4
2928,0
2929,1
293,1
2930,2
2931,2
2932,3
2933,3
2934,3
2935,3
2936,1
2937,2
2938,3
2939,3
294,4
2940,3
2941,4
2942,1
2943,2
2944,4
2945,0
2946,0
2947,4
2948,2
2949,2
295,3
2950,3
2951,4
2952,1
2953,0
2954,2
2955,2
2956,3
2957,3
2958,1
2959,2
296,3
2960,4
2961,1
2962,4
2963,2
2964,1
2965,4
2966,3
2967,2
2968,1
2969,1
297,0
2970,2
2971,0
2972,2
2973,1
2974,2
2975,2
2976,2
2977,0
2978,1
2979,0
298,4
2980,1
2981,3
2982,2
2983,1
2984,1
2985,4
2986,0
2987,0
2988,1
2989,0
299,4
2990,1
2991,3
2992,2
2993,1
2994,3
2995,0
2996,2
2997,1
2998,0
2999,4
3,1
30,3
300,4
3000,4
3001,3
3002,1
3003,1
3004,3
3005,1
3006,1
3007,1
3008,1
3009,2
301,1
3010,2
3011,2
3012,3
3013,0
3014,2
3015,2
3016,4
3017,3
3018,3
3019,4
302,2
3020,2
3021,4
3022,0
3023,0
3024,1
3025,3
3026,3
3027,0
3028,2
3029,0
303,1
3030,0
3031,0
3032,0
3033,4
3034,3
3035,2
3036,2
3037,1
3038,3
3039,4
304,0
3040,4
3041,2
3042,3
3043,1
3044,0
3045,4
3046,2
3047,0
3048,0
3049,4
305,2
3050,4
3051,1
3052,2
3053,0
3054,0
3055,3
3056,1
3057,0
3058,1
3059,4
306,4
3060,2
3061,2
3062,3
3063,4
3064,2
307,1
308,1
309,4
31,0
310,4
311,4
312,0
313,3
314,1
315,4
316,2
317,3
318,2
319,1
32,4
320,1
321,1
322,2
323,3
324,0
325,3
326,0
327,4
328,3
329,3
33,4
330,4
331,1
332,2
333,2
334,4
335,0
336,0
337,2
338,0
339,1
34,0
340,0
341,2
342,0
343,3
344,3
345,0
346,3
347,4
348,4
349,1
35,3
350,3
351,4
352,0
353,0
354,3
355,2
356,1
357,3
358,1
359,2
36,1
360,2
361,4
362,3
363,0
364,3
365,0
366,2
367,3
368,3
369,4
37,4
370,3
371,0
372,3
373,1
374,0
375,4
376,3
377,4
378,4
379,3
38,0
380,4
381,2
382,4
383,1
384,2
385,2
386,1
387,3
388,4
389,1
39,2
390,1
391,0
392,2
393,1
394,0
395,0
396,2
397,2
398,1
399,3
4,3
40,3
400,4
401,3
402,2
403,4
404,3
405,2
406,2
407,0
408,0
409,1
41,2
410,0
411,4
412,3
413,1
414,4
415,4
416,1
417,2
418,0
419,3
42,2
420,1
421,1
422,4
423,3
424,3
425,0
426,3
427,0
428,1
429,0
43,0
430,3
431,1
432,3
433,3
434,3
435,2
436,1
437,0
438,2
439,3
44,1
440,4
441,0
442,2
443,3
444,0
445,3
446,2
447,2
448,0
449,2
45,2
450,1
451,0
452,4
453,3
454,2
455,1
456,1
457,3
458,3
459,4
46,0
460,3
461,3
462,1
463,3
464,0
465,4
466,1
467,1
468,1
469,0
47,0
470,3
471,1
472,4
473,2
474,1
475,2
476,2
477,2
478,0
479,2
48,3
480,4
481,1
482,3
483,1
484,1
485,2
486,1
487,1
488,0
489,4
49,2
490,1
491,2
492,2
493,3
494,2
495,3
496,0
497,2
498,2
499,0
5,0
50,2
500,2
501,3
502,4
503,4
504,0
505,1
506,0
507,4
508,1
509,0
51,3
510,0
511,0
512,0
513,3
514,2
515,4
516,4
517,0
518,0
519,2
52,3
520,2
521,0
522,2
523,4
524,1
525,4
526,3
527,0
528,4
529,1
53,1
530,1
531,1
532,1
533,2
534,3
535,2
536,2
537,3
538,1
539,2
54,3
540,1
541,4
542,4
543,0
544,3
545,0
546,1
547,4
548,2
549,1
55,3
550,1
551,1
552,2
553,1
554,3
555,2
556,0
557,1
558,4
559,4
56,0
560,3
561,2
562,2
563,1
564,4
565,0
566,3
567,3
568,2
569,2
57,2
570,0
571,3
572,2
573,4
574,3
575,2
576,0
577,2
578,0
579,0
58,1
580,0
581,1
582,3
583,4
584,2
585,0
586,0
587,4
588,4
589,2
59,2
590,0
591,4
592,0
593,4
594,4
595,2
596,1
597,0
598,3
599,4
6,0
60,3
600,4
601,3
602,4
603,2
604,0
605,1
606,0
607,4
608,0
609,3
61,1
610,4
611,0
612,3
613,1
614,4
615,1
616,1
617,4
618,4
619,1
62,0
620,1
621,2
622,0
623,0
624,2
625,3
626,2
627,0
628,3
629,3
63,0
630,1
631,0
632,1
633,3
634,2
635,2
636,0
637,2
638,4
639,2
64,1
640,1
641,0
642,4
643,1
644,0
645,0
646,4
647,3
648,0
649,2
65,4
650,4
651,3
652,3
653,0
654,3
655,1
656,3
657,0
658,1
659,0
66,4
660,1
661,4
662,2
663,2
664,4
665,3
666,1
667,2
668,4
669,4
67,2
670,0
671,4
672,2
673,2
674,1
675,3
676,0
677,1
678,2
679,3
68,0
680,1
681,1
682,3
683,3
684,3
685,1
686,0
687,4
688,1
689,2
69,4
690,3
691,1
692,3
693,0
694,3
695,2
696,2
697,3
698,0
699,4
7,4
70,1
700,1
701,3
702,4
703,2
704,3
705,0
706,3
707,0
708,1
709,4
71,1
710,1
711,4
712,1
713,1
714,0
715,3
716,2
717,1
718,0
719,0
72,3
720,4
721,2
722,1
723,2
724,1
725,3
726,3
727,3
728,2
729,4
73,1
730,4
731,3
732,2
733,0
734,4
735,1
736,0
737,4
738,3
739,0
74,4
740,4
741,0
742,0
743,4
744,4
745,2
746,3
747,1
748,4
749,2
75,4
750,4
751,4
752,3
753,0
754,2
755,4
756,2
757,1
758,0
759,4
76,3
760,1
761,0
762,3
763,2
764,0
765,0
766,0
767,4
768,2
769,3
77,1
770,1
771,0
772,3
773,2
774,1
775,2
776,1
777,0
778,4
779,1
78,3
780,3
781,4
782,1
783,0
784,1
785,0
786,4
787,2
788,2
789,4
79,4
790,1
791,3
792,2
793,3
794,2
795,2
796,3
797,3
798,1
799,4
8,2
80,0
800,3
801,0
802,0
803,3
804,3
805,0
806,2
807,2
808,0
809,4
81,4
810,4
811,1
812,2
813,2
814,4
815,3
816,4
817,0
818,1
819,1
82,1
820,4
821,1
822,1
823,3
824,2
825,4
826,1
827,4
828,2
829,3
83,3
830,1
831,4
832,1
833,3
834,3
835,4
836,2
837,2
838,2
839,0
84,0
840,0
841,4
842,3
843,0
844,4
845,4
846,0
847,3
848,3
849,2
85,4
850,2
851,4
852,1
853,4
854,0
855,3
856,4
857,4
858,1
859,3
86,4
860,0
861,4
862,0
863,0
864,2
865,0
866,1
867,3
868,1
869,1
87,3
870,1
871,0
872,1
873,4
874,0
875,0
876,1
877,4
878,3
879,2
88,0
880,3
881,3
882,1
883,4
884,3
885,4
886,1
887,2
888,0
889,1
89,3
890,2
891,2
892,3
893,0
894,2
895,3
896,4
897,0
898,4
899,1
9,3
90,3
900,2
901,1
902,0
903,0
904,3
905,3
906,1
907,4
908,3
909,3
91,0
910,0
911,4
912,4
913,4
914,1
915,3
916,2
917,2
918,2
919,2
92,4
920,0
921,1
922,2
